Employee_ID,First_Name,Last_Name,Age,Department_Region,Current_Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Department,Region,Tenure,Target_Bonus,Geographic_Differential,Actual_Bonus
EMP1857,Heidi,Williams,35,Cloud Tech-Texas,Active,2020-05-24,89994.12,heidi.williams@example.com,NULL,Good,"TRUE",Cloud Tech,Texas,5.6,1.18,0.982,1.74
EMP1858,Heidi,Johnson,25,Finance-New York,Pending,2023-08-04,50060.73,heidi.johnson@example.com,(317)-653-9704,Poor,"FALSE",Finance,New York,2.4,1.1,1.126,0.62
EMP1859,Grace,Davis,35,Admin-Nevada,Inactive,2022-03-12,90224.82,grace.davis@example.com,(487)-396-1028,Excellent,"FALSE",Admin,Nevada,3.8,1.05,1.016,2.13
EMP1860,Heidi,Brown,40,Finance-Florida,Pending,2024-05-18,106859.30,heidi.brown@example.com,NULL,Good,"FALSE",Finance,Florida,1.6,1.08,0.954,1.55
EMP1861,David,Smith,25,Finance-Nevada,Inactive,2020-09-05,89707.07,david.smith@example.com,(804)-918-7273,Good,"FALSE",Finance,Nevada,5.3,1.15,1.016,1.75
EMP1862,Frank,Johnson,35,DevOps-California,Inactive,2020-04-23,94259.08,frank.johnson@example.com,(204)-956-1212,Excellent,"TRUE",DevOps,California,5.7,1.18,1.149,2.71
EMP1863,Bob,Johnson,35,Sales-California,Active,2024-09-18,82174.75,bob.johnson@example.com,(773)-062-6041,Excellent,"FALSE",Sales,California,1.3,1.08,1.149,2.48
EMP1864,David,Brown,30,Sales-Texas,Inactive,2023-09-15,63370.22,david.brown@example.com,(359)-737-1121,Excellent,"FALSE",Sales,Texas,2.3,1.1,0.982,2.16
EMP1865,Bob,Smith,35,Finance-Texas,Pending,2022-06-15,101472.69,bob.smith@example.com,(299)-077-5607,Good,"TRUE",Finance,Texas,3.5,1.1,0.982,1.62
EMP1866,David,Jones,25,DevOps-Illinois,Active,2022-09-28,77213.73,david.jones@example.com,(581)-670-4685,Good,"FALSE",DevOps,Illinois,3.3,1.13,1.039,1.76
EMP1867,Eva,Miller,40,Sales-Florida,Active,2020-03-16,73749.96,eva.miller@example.com,(111)-457-6831,Poor,"TRUE",Sales,Florida,5.8,1.15,0.954,0.55
EMP1868,Alice,Davis,40,Cloud Tech-New York,Pending,2023-09-28,86618.37,alice.davis@example.com,(102)-192-3784,Average,"FALSE",Cloud Tech,New York,2.3,1.1,1.126,1.24
EMP1869,Charlie,Miller,NULL,Admin-Texas,Active,2024-02-15,59911.33,charlie.miller@example.com,(847)-129-6179,Excellent,"TRUE",Admin,Texas,1.9,1.05,0.982,2.06
EMP1870,Heidi,Jones,NULL,Cloud Tech-New York,Pending,2023-08-21,59137.64,heidi.jones@example.com,(332)-426-0507,Good,"FALSE",Cloud Tech,New York,2.4,1.1,1.126,1.86
EMP1871,Alice,Garcia,35,Cloud Tech-Florida,Pending,2020-12-15,108474.65,alice.garcia@example.com,NULL,Good,"TRUE",Cloud Tech,Florida,5,1.15,0.954,1.65
EMP1872,Bob,Johnson,25,Finance-Illinois,Pending,2021-03-27,54417.71,bob.johnson@example.com,(373)-377-7311,Excellent,"FALSE",Finance,Illinois,4.8,1.12,1.039,2.33
EMP1873,Frank,Smith,40,HR-Texas,Pending,2023-03-25,88211.94,frank.smith@example.com,(688)-122-8216,Average,"FALSE",HR,Texas,2.8,1.07,0.982,1.05
EMP1874,David,Johnson,25,Sales-New York,Inactive,2020-05-09,58452.18,david.johnson@example.com,(819)-236-5345,Excellent,"TRUE",Sales,New York,5.6,1.15,1.126,2.59
EMP1875,Grace,Williams,30,DevOps-California,Pending,2020-12-03,80706.28,grace.williams@example.com,NULL,Average,"TRUE",DevOps,California,5.1,1.18,1.149,1.36
EMP1876,Alice,Johnson,30,Cloud Tech-Nevada,Pending,2022-02-09,NULL,alice.johnson@example.com,(932)-798-6238,Good,"TRUE",Cloud Tech,Nevada,3.9,1.13,1.016,1.72
EMP1877,Heidi,Johnson,25,Cloud Tech-Texas,Active,2020-07-01,99471.89,heidi.johnson@example.com,(847)-169-0617,Average,"TRUE",Cloud Tech,Texas,5.5,1.18,0.982,1.16
EMP1878,Eva,Jones,40,DevOps-Florida,Pending,2020-09-16,64431.22,eva.jones@example.com,(120)-546-4753,Poor,"FALSE",DevOps,Florida,5.3,1.18,0.954,0.56
EMP1879,Heidi,Jones,40,Admin-New York,Pending,2023-11-17,52633.48,heidi.jones@example.com,(895)-478-7697,Good,"FALSE",Admin,New York,2.1,1.05,1.126,1.77
EMP1880,Heidi,Jones,NULL,Cloud Tech-Nevada,Inactive,2021-12-13,79315.01,heidi.jones@example.com,(999)-275-1757,Poor,"TRUE",Cloud Tech,Nevada,4.1,1.15,1.016,0.58
EMP1881,David,Miller,25,Sales-Texas,Pending,2022-01-11,110391.17,david.miller@example.com,(891)-444-4982,Excellent,"FALSE",Sales,Texas,4,1.1,0.982,2.16
EMP1882,David,Williams,40,DevOps-Nevada,Active,2021-07-20,53714.83,david.williams@example.com,(553)-935-4357,Excellent,"TRUE",DevOps,Nevada,4.5,1.15,1.016,2.34
EMP1883,Charlie,Garcia,40,Finance-New York,Active,2023-10-04,114587.11,charlie.garcia@example.com,(644)-963-9242,Excellent,"TRUE",Finance,New York,2.2,1.1,1.126,2.48
EMP1884,Frank,Garcia,35,Admin-Florida,Inactive,2021-11-15,93177.35,frank.garcia@example.com,(588)-537-9820,Average,"FALSE",Admin,Florida,4.1,1.05,0.954,1
EMP1885,Heidi,Jones,25,Cloud Tech-Nevada,Active,2023-01-05,62312.13,heidi.jones@example.com,(433)-952-7535,Good,"FALSE",Cloud Tech,Nevada,3,1.13,1.016,1.72
EMP1886,Heidi,Smith,NULL,Cloud Tech-Texas,Active,2024-01-17,81137.46,heidi.smith@example.com,(749)-785-2490,Excellent,"FALSE",Cloud Tech,Texas,2,1.1,0.982,2.16
EMP1887,Grace,Miller,30,DevOps-Nevada,Inactive,2021-04-16,104528.27,grace.miller@example.com,(416)-860-1346,Excellent,"FALSE",DevOps,Nevada,4.7,1.15,1.016,2.34
EMP1888,Bob,Brown,30,DevOps-Florida,Active,2022-02-08,112395.56,bob.brown@example.com,(789)-489-6339,Good,"FALSE",DevOps,Florida,3.9,1.13,0.954,1.62
EMP1889,Heidi,Smith,25,Finance-New York,Active,2023-06-02,81849.36,heidi.smith@example.com,(679)-176-6511,Excellent,"FALSE",Finance,New York,2.6,1.1,1.126,2.48
EMP1890,Charlie,Davis,40,DevOps-New York,Pending,2022-01-04,118288.91,charlie.davis@example.com,(215)-001-4187,Poor,"FALSE",DevOps,New York,4,1.13,1.126,0.64
EMP1891,Charlie,Davis,25,DevOps-Illinois,Active,2021-07-28,59555.10,charlie.davis@example.com,(421)-630-9000,Good,"TRUE",DevOps,Illinois,4.4,1.15,1.039,1.79
EMP1892,Heidi,Smith,40,Admin-California,Active,2024-12-20,70661.31,heidi.smith@example.com,(594)-463-3398,Good,"TRUE",Admin,California,1,1.05,1.149,1.81
EMP1893,Charlie,Jones,NULL,Sales-New York,Active,2022-04-23,109988.16,charlie.jones@example.com,(948)-532-0894,Good,"TRUE",Sales,New York,3.7,1.1,1.126,1.86
EMP1894,David,Brown,NULL,Finance-Florida,Inactive,2020-01-30,101101.24,david.brown@example.com,(326)-389-0218,Poor,"TRUE",Finance,Florida,5.9,1.15,0.954,0.55
EMP1895,David,Brown,30,HR-Florida,Pending,2021-03-31,112427.58,david.brown@example.com,(947)-113-6336,Good,"TRUE",HR,Florida,4.8,1.09,0.954,1.56
